name,party,Constituency & State,gender,is_nominated,nth loksabha
"Jatav-vir,Dr. Manik Chand",KLP,Bharatpur- Sawai Madhopur-SC (Rajasthan ),male,0,1
"Jayaraman,Shri A.",TNTP,Tindivanam (Madras ),male,0,1
"Jena,Shri Kanhu Charan",Congress,Balasore (Odisha ),male,0,1
"Jena,Shri Lakshmi Dhar",GP,Dhenkanal West Cuttack-SC (Odisha ),male,0,1
"Jena,Shri Niranjan",Congress,Dhenkanal West Cuttack-SC (Odisha ),male,0,1
"Jethan,Shri Kherwar",Congress,Palamu cum Hazaribagh cum Ranchi-ST (Bihar ),male,0,1
"Jhunjhunwala,Shri Banarsi Prasad",Congress,Bhagalpur Central (Bihar ),male,0,1
"Jogendra Singh,Sardar",Congress,Bahraich Distt. (West) (Uttar Pradesh ),male,0,1
"Joshi,Shri Jethalal Harikrishna",Congress,Madhya Saurashtra (Saurashtra ),male,0,1
"Joshi,Shri Krishnacharya",Congress,Yadgir (Hyderabad ),male,0,1
"Joshi,Shri Liladhar",Congress,Shajapur-Rajagarh (Madhya Bharat ),male,0,1
"Joshi,Shri Moreshwar Dinkar",Congress,Ratnagiri South (Bombay ),male,0,1
"Joshi,Shri Nand Lal Surya Narayan",Congress,Indore (Madhya Bharat ),male,0,1
"Joshi,Smt. Subhadra",Congress,Karnal (Punjab ),female,0,1
"Joshi,Shri Ram Karan",Congress,Jaipur-Sawai Madhopur (Rajasthan ),male,0,1
"Ju Deo,Maharajkumar Chandikeshwar Sharan Singh",Congress,Surguja -Raigarh (Madhya Pradesh ),male,0,1
"Kachiroyar,Shri N.D. Govindaswami",TNTP,Cuddalore (Madras ),male,0,1
"Kajrolkar,Shri Narayan Sadoba",Congress,Bombay City Central-North-SC (Bombay ),male,0,1
"Kakkan,Shri P.",Congress,Madurai (Madras ),male,0,1
"Kale,Smt. Anasuyabai Purushottam",Congress,Nagpur (Madhya Pradesh ),female,0,1
"Kamaraj Nadar,Shri K.",Congress,Srivilliputhur (Madras ),male,0,1
"Kamath,Shri Hari Vishnu",PSP,Hoshangabad (Madhya Pradesh ),male,0,1
"Kamble,Dr. Devrao Namdevrao Pathrikar",Congress,Nanded-SC (Hyderabad ),male,0,1
"Kandasamy,Shri S.K. Babie",DFSI,Tiruchengode (Madras ),male,0,1
"Kanungo,Shri Nityanand",Congress,Kendrapara (Odisha ),male,0,1
"Karmarkar,Shri Dattatraya Parasuram",Congress,Dharwar North (Bombay ),male,0,1
"Karni Singh,Dr.Maharaja Bikaner",Ind.,Bikaner-Churu (Rajasthan ),male,0,1
"Kasliwal,Shri Nemi Chandra",Congress,Kotah-Jhalwar (Rajasthan ),male,0,1
"Katham,Shri Birendra Nath",Congress,North Bengal (West Bengal ),male,0,1
"Katju,Dr. Kailas Nath",Congress,Mandsaur (Madhya Bharat ),male,0,1
"Kaushik,Shri Pannalal R.",Congress,Tonk-SC (Rajasthan ),male,0,1
"Kayal,Shri Paresh Nath",Congress,Basirhat (West Bengal ),male,0,1
"Kazmi,Shri Syed Mohammad Ahmad",Congress,Sultanpur Distt. (North) cum Faizabad Distt. (South-West) (Uttar Pradesh ),male,0,1
"Keishing,Shri Rishang",Socialist,Outer Manipur-ST (Manipur ),male,0,1
"Kelappan,Shri K.",KMPP,Ponnani (Madras ),male,0,1
"Keshava,Shri N. alias N. Keshavaiengar",Congress,Bangalore North (Mysore ),male,0,1
